unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
467,object,building,0.031989027,white-c,72511065,3708139,518617,0.006850898,building,35246027,2999249,1185506,0.031989027,shop window,233888,1122451,12435,0.009252893,wallpaper,479323,135259,1356,0.002211257,street-s,28111104,1717957,707737,0.02430305,meshed,1756160,553063,53249,0.023603552
468,scene,jacuzzi-indoor-s,0.115567258,blue-c,61494563,3802276,762708,0.011818676,swimming pool,200439,2277176,152053,0.065383335,head,4946761,906122,50818,0.008758606,ceramic,679072,444363,18104,0.016378804,jacuzzi-indoor-s,526848,1371312,196640,0.115567258,crystalline,1530368,411582,39740,0.020891489
469,texture,cobwebbed,0.089207694,green-c,63326720,3780147,517584,0.007772782,fence,2236367,2151329,174327,0.041374729,torso,7669375,737781,46329,0.005541198,tile,3959469,387110,39744,0.009228122,rope_bridge-s,188160,893103,66568,0.06560395,cobwebbed,1505280,945812,200748,0.089207694
470,scene,bowling_alley-s,0.116520498,orange-c,30348501,3709956,499803,0.014893416,floor,20378155,1722300,534332,0.024776451,body,1291612,706206,13175,0.006638474,wood,9793596,1304365,289809,0.026813927,bowling_alley-s,301056,902533,125607,0.116520498,grooved,1505280,378953,30902,0.016673762
471,object,person,0.033752597,black-c,139916835,3591199,1066429,0.00748678,person,14523849,2028212,540434,0.033752597,arm,2299112,1389213,97913,0.027270686,skin,177664,1034608,8200,0.006810224,television_studio-s,200704,645341,19815,0.023982426,studded,1593088,138399,10357,0.006017558
472,scene,parking_garage-indoor-s,0.038853176,grey-c,159331282,3701998,1070279,0.00660817,bicycle,1152271,2039617,49897,0.015880695,wheel,1513439,851002,40583,0.017463632,concrete,382930,823528,13249,0.011103671,parking_garage-indoor-s,288512,798946,40671,0.038853176,crystalline,1530368,637094,56499,0.026764562
473,texture,crystalline,0.046539219,white-c,72511065,3807770,818612,0.010842511,person,14523849,1376492,332210,0.021339106,arm,2299112,808324,54064,0.017706326,fabric,8548746,1392170,161519,0.016516254,martial_arts_gym-s,188160,407485,24822,0.043484583,crystalline,1530368,497555,90181,0.046539219
474,scene,nursery-s,0.09352443,blue-c,61494563,3681343,526774,0.008148199,cradle,157375,1925843,66643,0.033047618,headboard,500152,1012921,24299,0.016321483,painted,13470129,912118,171083,0.012038634,nursery-s,827904,1145012,168735,0.09352443,potholed,1580544,198738,24722,0.014090142
475,part,coach,0.082971178,orange-c,30348501,3719500,280014,0.008287383,train,1646804,1901254,234229,0.070682283,coach,689166,858089,118542,0.082971178,wood,9793596,1074980,109022,0.010132576,nursery-s,827904,1083353,112536,0.062564456,woven,1781248,232625,17402,0.00871638
476,texture,stratified,0.139588892,brown-c,182265724,3737547,1159468,0.006272691,mountain,5469345,2236370,170746,0.022660478,shaft,46090,726217,7013,0.009163798,brick,422313,225286,5099,0.007936187,hoodoo-s,125440,1305094,43620,0.031451121,stratified,1568000,1168178,335156,0.139588892
477,scene,office-s,0.149241928,black-c,139916835,3718643,990929,0.006946841,desk,916228,2337769,236724,0.078456275,screen,677188,1638206,133219,0.061048724,paper,471596,1373167,22548,0.012373951,office-s,1542912,1407007,383080,0.149241928,,24924928,144464,139601,0.005599766
478,scene,skyscraper-s,0.08909976,grey-c,159331282,3814807,1081109,0.006670837,building,35246027,3738508,2316991,0.063189152,balcony,317196,1192825,21312,0.014315759,granite,1315719,13108,535,0.000402773,skyscraper-s,4402944,3238401,625142,0.08909976,,24924928,88164,77614,0.003112593
479,scene,bus_interior-s,0.100826234,orange-c,30348501,3744440,230126,0.006795832,seat,1488057,2249907,174747,0.049041919,hair,1159565,974963,40032,0.019112951,food,1104928,931113,21689,0.010767234,bus_interior-s,351232,1285417,149903,0.100826234,,24924928,360509,254246,0.010157168
480,scene,airplane_cabin-s,0.080769694,red-c,21004512,3778245,258619,0.010545488,sofa,4094071,1680526,403318,0.075087889,seat cushion,340448,881808,62483,0.053875198,fabric,8548746,1407974,288565,0.029846956,airplane_cabin-s,275968,981594,93982,0.080769694,waffled,1555456,112768,6459,0.003886831
481,object,bus,0.071493539,blue-c,61494563,3729667,621911,0.00962676,bus,1628191,3554080,345778,0.071493539,coach,689166,1580910,20838,0.009264471,glass,2246777,66485,1797,0.000777429,harbor-s,301056,1632759,48478,0.025713175,,24924928,296905,234238,0.009374171
482,object,dog,0.048762568,green-c,63326720,3732726,1084567,0.01643909,dog,3793935,2990896,315463,0.048762568,head,4946761,1910610,232341,0.035070181,glass,2246777,582689,23895,0.008516983,creek-s,577024,632053,27346,0.02314063,frilly,1618176,284244,27138,0.014471423
483,object,cat,0.057032578,black-c,139916835,3694174,979543,0.00686765,cat,4163987,2489976,359017,0.057032578,torso,7669375,1640012,412059,0.046312668,fur,103280,660695,11127,0.014779876,bullring-s,137984,868155,41302,0.042807231,matted,1593088,366666,95939,0.051474529
