unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
1067,object,bed,0.047350074,red-c,21004512,3535985,202589,0.00832401,bed,5899566,1350098,327753,0.047350074,seat cushion,340448,703997,27152,0.026690442,fabric,8548746,1372395,222975,0.02299146,bedroom-s,19167232,967427,423905,0.02150628,spiralled,1605632,278103,26241,0.014127098
1068,material,food,0.031575656,orange-c,30348501,3398759,236443,0.007055722,signboard,661129,1894978,48611,0.019386272,body,1291612,931299,54451,0.025110447,food,1104928,683034,54728,0.031575656,bakery-shop-s,715008,819643,31414,0.02089757,crystalline,1530368,394565,54473,0.029122783
1069,object,boat,0.038241803,white-c,72511065,3549424,481587,0.006371977,boat,1245134,2297129,130473,0.038241803,head,4946761,1111601,95496,0.016015118,fabric,8548746,642260,68983,0.007562248,movie_theater-outdoor-s,150528,944297,18819,0.017489679,,24924928,194913,141823,0.005677912
1070,texture,striped,0.080775455,black-c,139916835,3579752,993532,0.006972005,motorbike,1440771,2036808,82276,0.0242323,body,1291612,1109599,45599,0.019357602,fabric,8548746,647002,92466,0.010157436,closet-s,990976,792078,23417,0.013307858,striped,2433536,453493,215772,0.080775455
1071,object,airplane,0.112552125,blue-c,61494563,3681513,418267,0.006458943,airplane,1293178,2162143,349560,0.112552125,body,1291612,1552007,266967,0.103610033,metal,3462561,769438,45074,0.010765419,arrival_gate-outdoor-s,451584,522350,19261,0.020175495,freckled,1555456,235063,19390,0.010947819
1072,part,coach,0.02885173,red-c,21004512,3560435,134561,0.005507936,train,1646804,2104572,103091,0.028257387,coach,689166,714125,39352,0.02885173,metal,3462561,733138,57143,0.013807473,weighbridge-s,263424,1164112,32512,0.023305692,crosshatched,1743616,208966,15906,0.008213041
1073,texture,pleated,0.064865088,red-c,21004512,3575200,241888,0.009938769,skyscraper,1270392,2173673,126926,0.038263697,coach,689166,555856,23104,0.018907979,fabric,8548746,478053,89664,0.010032745,movie_theater-indoor-s,238336,1328610,57913,0.038377557,pleated,1505280,658364,131796,0.064865088
1074,scene,poolroom-home-s,0.092802845,pink-c,18491188,3663932,150662,0.006846885,pool table,435101,2041217,209065,0.092210706,wing,323329,1444824,48092,0.027959474,fabric,8548746,992349,136089,0.014469847,poolroom-home-s,1317120,758447,176261,0.092802845,,24924928,162986,103905,0.00415886
1075,texture,porous,0.048402166,green-c,63326720,3549733,678829,0.010254583,cat,4163987,2441659,153927,0.023858293,roof,443437,696549,39855,0.036227504,food,1104928,334176,13543,0.00950012,castle-s,865536,1290457,68097,0.03261513,porous,1856512,650335,115735,0.048402166
1076,object,airplane,0.091457672,grey-c,159331282,3576341,1245460,0.007704091,airplane,1293178,2240354,296089,0.091457672,body,1291612,1221297,164396,0.070000038,paper,471596,697515,8519,0.007340219,office-s,1542912,972064,97474,0.040320132,,24924928,191196,172844,0.006929482
1077,part,hand,0.020940012,pink-c,18491188,3337127,117194,0.005397879,person,14523849,1812756,199780,0.012380378,hand,398768,819046,24978,0.020940012,fabric,8548746,731536,53041,0.005748305,waterfall-block-s,326144,775500,14358,0.013205357,flecked,1580544,316299,17256,0.00918074
1078,object,boat,0.070348664,orange-c,30348501,3546312,203345,0.006035504,boat,1245134,2055178,216913,0.070348664,muzzle,666221,784657,12753,0.008867797,granite,1315719,822781,15628,0.007361725,boathouse-s,150528,776594,14881,0.016312575,,24924928,189526,156443,0.006268248
1079,texture,banded,0.129632157,pink-c,18491188,3758856,306057,0.013947192,cradle,157375,620644,25297,0.033607361,safety side,15966,144008,4766,0.03070718,ceramic,679072,218962,5733,0.006424962,ball_pit-s,275968,386898,21405,0.033369137,banded,2571520,2635324,597517,0.129632157
1080,part,arm,0.023228952,pink-c,18491188,3617457,143666,0.006540685,person,14523849,1379177,282461,0.018082637,arm,2299112,859870,71714,0.023228952,skin,177664,1321644,22084,0.014949662,sandbox-s,200704,346908,5569,0.010274093,freckled,1555456,195511,6985,0.004005202
1081,object,plant,0.050238043,green-c,63326720,3559637,910667,0.013803069,plant,3760075,2603980,304424,0.050238043,wing,323329,617549,16416,0.017757355,food,1104928,310952,16870,0.012058527,beach-s,990976,1445041,75701,0.0320724,bumpy,2082304,453462,46815,0.018809129
1082,object,motorbike,0.095490174,red-c,21004512,3521771,174498,0.007165717,motorbike,1440771,2053273,304564,0.095490174,wheel,1513439,1485983,241698,0.087644014,skin,177664,693570,4185,0.004826717,shoe_shop-s,577024,627249,26073,0.02212952,studded,1593088,222872,23858,0.013312858
1083,object,bed,0.041832295,red-c,21004512,3586952,250213,0.010279381,bed,5899566,1677748,304249,0.041832295,footboard,366693,825859,17329,0.014745287,fabric,8548746,1407996,180203,0.018432188,bedroom-s,19167232,957961,382630,0.019380969,,24924928,99609,82238,0.00329713
1084,texture,meshed,0.200567758,black-c,139916835,3732397,775484,0.005427757,fence,2236367,1368562,101133,0.028863838,muzzle,666221,670262,34379,0.026402653,food,1104928,448860,8003,0.005177305,rope_bridge-s,188160,434384,24297,0.04061366,meshed,1756160,1674951,573204,0.200567758
1085,object,horse,0.040432243,pink-c,18491188,3555685,148985,0.006803624,horse,1230680,1675215,112926,0.040432243,torso,7669375,1193583,263119,0.030595805,skin,177664,1017968,14881,0.012602996,firing_range-outdoor-s,137984,434562,19604,0.03545399,freckled,1555456,219049,17964,0.010226918
1086,object,toilet,0.05514471,grey-c,159331282,3631380,1099440,0.006792402,toilet,310112,1326275,85522,0.05514471,lid,90429,653597,29463,0.041232194,tile,3959469,1306819,174568,0.034284682,bathroom-s,9257472,921276,352358,0.035858337,,24924928,61472,52106,0.002089732
1087,object,sky,0.056250738,blue-c,61494563,3703508,1713080,0.026984016,sky,36650987,3130612,2118573,0.056250738,muzzle,666221,356213,15006,0.014895357,fur,103280,159418,2228,0.008553768,highway-s,4076800,1512860,102742,0.018724902,,24924928,336095,268835,0.010756761
1088,object,dog,0.052205478,orange-c,30348501,3644629,369309,0.010983552,dog,3793935,2319080,303299,0.052205478,muzzle,666221,1463210,56644,0.027327458,food,1104928,879537,33977,0.017419743,hayfield-s,200704,683002,16093,0.018548593,bumpy,2082304,208762,16127,0.007088981
